id,op,subop,fecha,hora_inicio,hora_fin,id_rrhh,nº_tocholargo,long_inicial,long_tocho_cortado,cant_tochos cortados ,peso_promedio,long_final,Peso del resto del tocho
428,67,2,20191202,094200,100100,000011,452,600,39.1,9,12.583,246.1,NULL
429,69,1,20191209,092800,095000,000011,457,558.5,45.2,12,14.617,13.1,4.272
430,69,1,20191209,100000,102700,000011,458,600,45.2,13,14.489,9.8,3.225
431,69,1,20191209,104300,110900,000011,459,600,45.2,12,14.627,55.4,18.017
432,69,2,20191209,113400,115700,000011,460,600,41.1,11,13.241,147.5,NULL
433,69,2,20191209,130700,131100,000011,460,147.5,41.1,3,13.213,24,7.773
434,69,2,20191209,132200,135200,000011,461,600,41.1,14,13.185,24,7.729
435,69,2,20191209,140000,143100,000011,462,600,41.1,14,13.242,22.3,7.226
436,69,3,20191209,151500,152400,000011,463,228.3,45.6,5,14.707,0.1,14.592
437,69,3,20191209,153500,160600,000011,464,600,45.6,13,14.783,3,0.924
438,69,3,20191209,162000,165100,000011,465,600,45.6,13,14.815,1.2,0.36
439,69,2,20191209,144000,150100,000011,463,600,41.1,9,13.275,228.3,NULL
440,69,3,20191210,71800,74000,000011,466,600,45.6,13,14.899,6.9,14.259
441,69,3,20191210,75000,75400,000011,467,600,45.6,2,14.957,508.3,NULL
442,69,4,20191210,81900,84300,000011,467,508.3,43.3,11,13.966,28,9.063
443,69,4,20191210,85000,91800,000011,468,600,43.3,13,13.945,33.3,10.924
444,69,4,20191210,93800,100400,000011,469,600,43.3,13,14.027,33,10.891
445,69,4,20191210,102200,104900,000011,470,600,43.3,13,13.979,35.1,11.411
446,69,4,20191210,110000,113100,000011,471,600,43.3,13,13.966,33.6,10.861
447,69,5,20191211,74300,75400,000011,472,600,41.1,2,13.165,477.7,NULL
448,69,5,20191211,85000,91100,000011,472,477.7,41.1,11,13.173,25,8.09
449,69,5,20191211,91800,93000,000011,473,600,41.1,7,13.169,311.8,NULL
450,69,5,20191212,152100,153200,000011,473,311.8,41.1,7,13.165,23.8,7.626
451,69,5,20191212,154600,155600,000011,474,600,41.1,3,13.267,436.5,NULL
452,69,5,20191213,64000,65800,000011,474,436.5,41.1,10,13.275,24,7.936
453,69,5,20191213,70600,72500,000011,475,600,41.1,10,13.243,188,NULL
454,70,1,20191213,73300,73900,000011,475,188,54.8,3,17.746,22.8,7.336
455,70,1,20191213,81900,84300,000011,476,600,54.8,10,17.731,49.3,15.852
456,70,1,20191213,85500,90600,000011,477,600,54.8,6,17.678,269.1,NULL
457,71,1,20191217,93300,94100,000011,477,269.1,45,5,14.469,43.3,13.908
458,71,1,20191217,95000,101200,000011,478,600,45,13,14.539,12.5,4.008
459,71,1,20191217,102200,105100,000011,479,600,45,13,14.519,11.8,3.875
460,71,1,20191217,110700,113000,000011,480,600,45,10,14.509,146.7,NULL
461,71,1,20191217,133000,133400,000011,480,146.7,45,3,14.469,11,3.618
462,71,1,20191217,134200,140600,000011,481,600,45,13,14.583,12.3,3.998
463,71,1,20191217,141700,144700,000011,482,600,45,13,14.533,11,3.618
464,71,2,20191218,65800,72500,000011,483,600,46.3,10,14.722,141.6,NULL
465,71,4,20191218,73300,74000,000011,483,141.6,45.7,3,14.723,3.2,1.21
466,71,4,20191218,82000,84000,000011,484,600,45.7,7,14.809,279.2,NULL
467,71,3,20191218,85400,90500,000011,484,279.2,49.9,5,16.163,28.5,9.17
468,71,3,20191218,91300,94100,000011,485,600,49.9,11,16.071,47.5,15.249
469,71,3,20191218,95000,103700,000011,486,600,49.9,11,16.123,48.5,15.579
470,71,3,20191218,110400,112500,000011,487,600,49.9,4,16.185,400,NULL
471,71,3,20191218,130900,134200,000011,487,400,49.9,7,16.127,48.5,15.736
472,72,1,20191219,200500,201600,000011,488,600,55.1,10,17.716,48.3,15.559
473,72,1,20191219,202200,204400,000011,489,600,55.1,10,17.786,49,15.886
474,72,1,20191219,204900,211400,000011,490,600,55.1,10,17.751,48.3,15.666
475,72,1,20191219,212000,213800,000011,491,600,55.1,8,17.823,158.5,NULL
476,72,2,20191219,220500,220900,000011,491,158.5,61.8,2,20.007,34.5,11.201
477,72,2,20191219,221400,223400,000011,492,600,61.8,9,19.945,42.3,13.685
478,72,2,20191219,224000,230200,000011,493,600,61.8,9,19.872,41.7,13.442
479,72,2,20191220,062800,064200,000011,494,600,61.8,7,19.885,166,NULL
480,72,3,20191220,070300,070600,000011,494,166,75.5,2,24.302,14.7,4.702
481,72,3,20191220,071100,072700,000011,495,600,75.5,7,24.242,70.7,22.702
482,72,3,20191220,073300,074400,000011,496,600,75.5,5,24.467,222.4,NULL
483,73,1,20200103,071800,072900,000011,496,221.7,45.1,4,14.577,40.7,13.228
484,73,1,20200103,073800,080000,000011,497,600,45.1,13,14.616,9.8,3.255
485,73,1,20200103,083200,085700,000011,498,600,45.1,13,14.534,11,3.581
486,73,1,20200103,090700,092200,000011,499,600,45.1,7,14.602,282,NULL
487,73,2,20200103,160000,161100,000011,499,282,37.8,7,12.226,16.2,5.289
