ID_MOVIMIENTO,FECHA ,HORA ,ID_RESPONSABLE,TIPO_CONTENEDOR_ORIGEN,ID_CONTENEDOR_ORIGEN,TIPO_CONTENEDOR_DESTINO,ID_CONTENEDOR_DESTINO,CODIGO ,LONGITUD,ENVEJECIDO,ACABADO,COLOR,DEFECTUOSO,CANTIDAD,nro_ext,nro_envejecimiento,nro_pint,id_imp_etiq,com,es_fix,ok
19,20200228,NULL,5,NULL,NULL,2,8,PROFILE-0066,6,1,0,0,0,30,NULL,NULL,NULL,NULL,NULL,0,NULL
20,20200228,NULL,5,NULL,NULL,2,9,PROFILE-0109,6,1,0,0,0,47,NULL,NULL,NULL,NULL,NULL,0,NULL
21,20200228,NULL,5,NULL,NULL,2,10,PROFILE-0080,6,1,0,0,0,105,NULL,NULL,NULL,NULL,NULL,0,NULL
22,20200327,NULL,12,2,10,NULL,NULL,PROFILE-0080,6,1,0,0,0,91,NULL,NULL,NULL,NULL,NULL,0,NULL
23,20200506,NULL,12,2,10,NULL,NULL,PROFILE-0080,6,1,0,0,0,14,NULL,NULL,NULL,NULL,NULL,0,NULL
24,20200228,NULL,5,NULL,NULL,2,10,PROFILE-0089,6,1,0,0,0,94,NULL,NULL,NULL,NULL,NULL,0,NULL
25,20200228,NULL,5,NULL,NULL,2,11,PROFILE-0088,6,1,0,0,0,182,NULL,NULL,NULL,NULL,NULL,0,NULL
26,20200228,NULL,5,NULL,NULL,2,12,PROFILE-0140,6,1,0,0,0,12,NULL,NULL,NULL,NULL,NULL,0,NULL
27,20200228,NULL,5,NULL,NULL,2,13,PROFILE-0141,6,1,0,0,0,30,NULL,NULL,NULL,NULL,NULL,0,NULL
28,20200228,NULL,5,NULL,NULL,2,14,PROFILE-0164,6,1,0,0,0,43,NULL,NULL,NULL,NULL,NULL,0,NULL
29,20200228,NULL,5,NULL,NULL,2,15,PROFILE-0165,6,1,0,0,0,6,NULL,NULL,NULL,NULL,NULL,0,NULL
30,20200311,NULL,12,2,15,NULL,NULL,PROFILE-0165,6,1,0,0,0,6,NULL,NULL,NULL,NULL,NULL,0,NULL
31,20200316,NULL,11,NULL,NULL,2,15,PROFILE-0132,6,1,0,0,0,36,NULL,NULL,NULL,NULL,NULL,0,NULL
32,20200228,NULL,5,NULL,NULL,2,16,PROFILE-0168,6,1,0,0,0,76,NULL,NULL,NULL,NULL,NULL,0,NULL
33,20200521,NULL,12,2,16,NULL,NULL,PROFILE-0168,6,1,0,0,0,15,NULL,NULL,NULL,NULL,NULL,0,NULL
34,20200608,NULL,12,2,16,NULL,NULL,PROFILE-0168,6,1,0,0,0,10,NULL,NULL,NULL,NULL,NULL,0,NULL
35,20200228,NULL,5,NULL,NULL,2,17,PROFILE-0121,6,1,0,0,0,140,NULL,NULL,NULL,NULL,NULL,0,NULL
36,20200521,NULL,12,2,17,NULL,NULL,PROFILE-0121,6,1,0,0,0,25,NULL,NULL,NULL,NULL,NULL,0,NULL
37,20200228,NULL,5,NULL,NULL,2,18,PROFILE-0169,6,1,0,0,0,40,NULL,NULL,NULL,NULL,NULL,0,NULL
38,20200228,NULL,5,NULL,NULL,2,20,PROFILE-0064,6,1,0,0,0,55,NULL,NULL,NULL,NULL,NULL,0,NULL
39,20200521,NULL,12,2,20,NULL,NULL,PROFILE-0064,6,1,0,0,0,50,NULL,NULL,NULL,NULL,NULL,0,NULL
40,20200228,NULL,5,NULL,NULL,2,21,PROFILE-0179,6,1,0,0,0,534,NULL,NULL,NULL,NULL,NULL,0,NULL
41,20200228,NULL,5,NULL,NULL,2,22,PROFILE-0162,6,1,0,0,0,26,NULL,NULL,NULL,NULL,NULL,0,NULL
42,20200317,NULL,12,2,22,NULL,NULL,PROFILE-0162,6,1,0,0,0,26,NULL,NULL,NULL,NULL,NULL,0,NULL
43,20200228,NULL,5,NULL,NULL,2,22,PROFILE-0082,6,1,0,0,0,13,NULL,NULL,NULL,NULL,NULL,0,NULL
44,20200228,NULL,5,NULL,NULL,2,22,PROFILE-0143,6,1,0,0,0,6,NULL,NULL,NULL,NULL,NULL,0,NULL
45,20200228,NULL,5,NULL,NULL,2,22,PROFILE-0145,6,1,0,0,0,8,NULL,NULL,NULL,NULL,NULL,0,NULL
46,20200228,NULL,5,NULL,NULL,2,23,PROFILE-0064,6,1,0,0,0,172,NULL,NULL,NULL,NULL,NULL,0,NULL
47,20200228,NULL,5,NULL,NULL,2,24,PROFILE-0121,6,1,0,0,0,240,NULL,NULL,NULL,NULL,NULL,0,NULL
48,20200228,NULL,5,NULL,NULL,2,25,PROFILE-0157,6,1,0,0,0,20,NULL,NULL,NULL,NULL,NULL,0,NULL
49,20200228,NULL,12,2,25,NULL,NULL,PROFILE-0157,6,1,0,0,0,3,NULL,NULL,NULL,NULL,NULL,0,NULL
50,20200317,NULL,12,2,25,NULL,NULL,PROFILE-0157,6,1,0,0,0,17,NULL,NULL,NULL,NULL,NULL,0,NULL
51,20200228,NULL,5,NULL,NULL,2,26,PROFILE-0181,6,1,0,0,0,6,NULL,NULL,NULL,NULL,NULL,0,NULL
52,20200228,NULL,12,2,26,NULL,NULL,PROFILE-0181,6,1,0,0,0,6,NULL,NULL,NULL,NULL,NULL,0,NULL
53,20200304,NULL,11,NULL,NULL,2,26,PROFILE-0148,6,1,0,0,0,27,NULL,NULL,NULL,NULL,NULL,0,NULL
