nro_canasto,cod_perfil,long__m,cantidad,op_extrusion,subop_extrusion,,
35,PROFILE-0124,5,1,NULL,NULL,,
35,PROFILE-0125,6,28,NULL,NULL,,
35,PROFILE-0125,5,4,NULL,NULL,,
35,PROFILE-0125,4,3,NULL,NULL,,
36,PROFILE-0120,6,36,NULL,NULL,,
36,PROFILE-0120,5,1,NULL,NULL,,
36,PROFILE-0124,6,30,NULL,NULL,,
36,PROFILE-0124,5,1,NULL,NULL,,
37,PROFILE-0119,6,54,NULL,NULL,,
37,PROFILE-0119,5,6,NULL,NULL,,
37,PROFILE-0119,3,8,NULL,NULL,,
37,PROFILE-0123,6,52,NULL,NULL,,
37,PROFILE-0123,5,4,NULL,NULL,,
37,PROFILE-0123,3,4,NULL,NULL,,
37,PROFILE-0125,6,49,NULL,NULL,,
37,PROFILE-0125,5,2,NULL,NULL,,
37,PROFILE-0125,4,1,NULL,NULL,,
37,PROFILE-0125,3,1,NULL,NULL,,
38,PROFILE-0160,6,11,NULL,NULL,,
38,PROFILE-0160,3,1,NULL,NULL,,
38,PROFILE-0166,6,7,NULL,NULL,,
38,PROFILE-0166,4,2,NULL,NULL,,
38,PROFILE-0166,3,1,NULL,NULL,,
38,PROFILE-0167,6,15,NULL,NULL,,
38,PROFILE-0167,3,1,NULL,NULL,,
38,PROFILE-0122,6,24,NULL,NULL,,
38,PROFILE-0122,5,1,NULL,NULL,,
38,PROFILE-0122,4,5,NULL,NULL,,
38,PROFILE-0122,3,4,NULL,NULL,,
38,PROFILE-0168,6,13,NULL,NULL,,
38,PROFILE-0168,5,1,NULL,NULL,,
38,PROFILE-0168,3,3,NULL,NULL,,
38,PROFILE-0170,6,8,NULL,NULL,,
38,PROFILE-0170,5,1,NULL,NULL,,
39,PROFILE-0089,6,19,NULL,NULL,,
39,PROFILE-0089,5,7,NULL,NULL,,
39,PROFILE-0090,6,5,NULL,NULL,,
39,PROFILE-0090,5,2,NULL,NULL,,
39,PROFILE-0090,4,1,NULL,NULL,,
39,PROFILE-0117,6,42,NULL,NULL,,
39,PROFILE-0117,4,12,NULL,NULL,,
39,PROFILE-0119,6,178,NULL,NULL,,
39,PROFILE-0119,4,4,NULL,NULL,,
39,PROFILE-0120,6,3,NULL,NULL,,
39,PROFILE-0120,5,1,NULL,NULL,,
39,PROFILE-0120,3,3,NULL,NULL,,
39,PROFILE-0122,6,14,NULL,NULL,,
39,PROFILE-0122,5,2,NULL,NULL,,
39,PROFILE-0122,4,3,NULL,NULL,,
39,PROFILE-0122,3,2,NULL,NULL,,
39,PROFILE-0182,6,7,NULL,NULL,,
39,PROFILE-0182,5,4,NULL,NULL,,
39,PROFILE-0182,6,6,NULL,NULL,,
39,PROFILE-0182,5,1,NULL,NULL,,
40,PROFILE-0119,6,178,NULL,NULL,,
40,PROFILE-0160,6,47,NULL,NULL,,
40,PROFILE-0160,5,1,NULL,NULL,,
41,PROFILE-0170,4.5,32,NULL,NULL,,
41,PROFILE-0170,4,5,NULL,NULL,,
41,PROFILE-0170,3,2,NULL,NULL,,
42,PROFILE-0117,6,196,NULL,NULL,,
42,PROFILE-0117,5,37,NULL,NULL,,
42,PROFILE-0117,4,1,NULL,NULL,,
42,PROFILE-0117,3,6,NULL,NULL,,
42,PROFILE-0120,6,4,NULL,NULL,,
42,PROFILE-0120,5,1,NULL,NULL,,
42,PROFILE-0120,3,1,NULL,NULL,,
42,PROFILE-0161,6,27,NULL,NULL,,
42,PROFILE-0161,5,1,NULL,NULL,,
42,PROFILE-0161,4,1,NULL,NULL,,
42,PROFILE-0166,6,8,NULL,NULL,,
42,PROFILE-0166,4,1,NULL,NULL,,
42,PROFILE-0167,6,8,NULL,NULL,,
42,PROFILE-0167,3,1,NULL,NULL,,
43,PROFILE-0120,6,44,NULL,NULL,,
43,PROFILE-0120,5,20,NULL,NULL,,
43,PROFILE-0120,3,1,NULL,NULL,,
44,PROFILE-0125,6,74,NULL,NULL,,
45,PROFILE-0124,6,60,NULL,NULL,,
46,PROFILE-0124,5,58,NULL,NULL,,
46,PROFILE-0124,5,2,NULL,NULL,,
47,PROFILE-0120,5,5,NULL,NULL,,
47,PROFILE-0124,5,8,NULL,NULL,,
47,PROFILE-0124,4,9,NULL,NULL,,
47,PROFILE-0124,3,3,NULL,NULL,,
47,PROFILE-0125,6,26,NULL,NULL,,
47,PROFILE-0125,5,3,NULL,NULL,,
47,PROFILE-0125,4,2,NULL,NULL,,
48,PROFILE-0132,6,58,NULL,NULL,,
48,PROFILE-0132,5,4,NULL,NULL,,
48,PROFILE-0132,4,6,NULL,NULL,,
48,PROFILE-0132,3,7,NULL,NULL,,
48,PROFILE-0116,6,42,NULL,NULL,,
48,PROFILE-0116,5,1,NULL,NULL,,
48,PROFILE-0116,4,1,NULL,NULL,,
48,PROFILE-0162,6,45,NULL,NULL,,
48,PROFILE-0162,4,1,NULL,NULL,,
49,PROFILE-0157,6,41,NULL,NULL,,
