OPP,SOPP,P,SP
75,13,87,13
75,14,87,14
75,16,87,16
75,17,87,17
75,18,87,18
76,2,89,3
76,3,89,4
76,4,89,5
76,1,56,6
76,5,89,6
77,5,82,1
77,2,84,1
77,7,90,1
77,8,91,1
77,9,91,2
77,3,84,3
77,4,84,5
77,1,55,12
77,6,82,12
78,1,92,1
78,2,92,2
78,3,92,3
78,4,92,4
78,5,92,5
78,6,92,6
78,7,92,7
78,8,92,8
78,9,92,9
78,10,92,10
79,1,93,1
79,2,93,2
79,8,82,4
79,3,58,5
79,4,58,8
79,9,82,9
79,5,58,11
79,6,58,12
80,1,94,6
80,2,94,7
80,3,94,9
80,4,94,10
80,5,94,11
80,6,94,12
80,7,94,13
80,8,94,14
80,9,94,15
80,10,94,16
80,11,94,17
80,12,94,18
81,8,71,1
81,2,89,1
81,3,89,2
81,4,89,3
81,5,89,4
81,6,89,5
81,7,89,6
81,1,94,13
82,10,95,1
82,1,96,1
82,11,95,2
82,2,96,2
82,12,95,3
82,3,96,3
82,13,95,4
82,4,96,6
82,6,96,8
82,5,96,7
82,7,96,9
82,8,96,10
82,9,96,22
83,1,96,1
83,2,96,2
83,4,96,9
83,3,96,18
83,5,96,20
83,7,96,22
84,1,98,1
84,2,98,2
84,3,98,3
84,4,98,4
85,1,99,1
85,2,99,2
85,3,99,3
86,1,101,1
86,2,101,2
86,3,101,13
86,4,101,14
86,5,101,6
87,1,103,1
87,2,103,2
88,1,101,1
88,9,104,1
88,2,101,2
88,10,104,2
88,3,101,3
88,4,101,5
88,5,101,6
88,6,101,7
88,7,101,8
88,8,101,9
89,1,97,1
90,1,105,1
91,3,71,1
91,4,56,2
91,5,94,4
91,1,56,6
91,2,56,7
92,6,106,1
92,7,106,2
92,8,106,3
92,1,58,4
92,9,106,4
92,2,58,12
92,3,58,13
92,5,96,16
92,4,96,20
93,1,108,1
93,2,108,2
93,3,108,3
93,4,108,4
93,5,108,5
93,6,108,6
93,7,108,7
93,8,108,8
93,9,108,9
93,10,108,10
93,11,108,11
93,12,108,12
93,13,108,13
94,3,109,1
94,4,109,2
94,5,109,3
94,1,57,4
94,6,109,4
94,2,57,12
95,1,111,1
95,2,111,2
95,3,111,3
96,2,94,2
96,1,82,8
96,3,101,12
97,1,106,1
