nro_op,nro_subop,codigo,long__m,cant,id_estado_op
128,2,PROFILE-0105,6,30,0
128,3,PROFILE-0105,4.65,156,0
129,1,PROFILE-0175,6,6,0
129,2,PROFILE-0162,6,70,0
129,3,PROFILE-0117,6,26,0
129,4,PROFILE-0159,6,3,0
129,5,PROFILE-0064,6,2,0
129,7,PROFILE-0166,6,14,0
129,9,PROFILE-0124,6,3,0
129,10,PROFILE-0169,6,19,0
129,11,PROFILE-0120,6,45,0
130,1,PROFILE-0078,6,6,0
130,2,PROFILE-0184,6,13,0
130,3,PROFILE-0149,6.2,28,0
130,4,PROFILE-0181,6,86,0
130,5,PROFILE-0064,6,5,0
130,6,PROFILE-0159,6,5,0
130,7,PROFILE-0118,6,3,0
130,8,PROFILE-0177,6,50,0
131,1,PROFILE-0133,6,30,0
132,1,PROFILE-0109,6,2,0
132,2,PROFILE-0111,6,5,0
132,3,PROFILE-0034,6,2,0
132,4,PROFILE-0035,6,10,0
132,5,PROFILE-0151,6,7,0
132,6,PROFILE-0153,6,2,0
132,7,PROFILE-0036,6,4,0
132,8,PROFILE-0038,6,6,0
132,9,PROFILE-0152,6,2,0
133,1,PROFILE-0118,6,22,0
133,2,PROFILE-0163,6,22,0
133,3,PROFILE-0075,6,109,0
133,4,PROFILE-0080,6,300,0
133,5,PROFILE-0159,6,4,0
134,1,PROFILE-0175,6,41,0
